Primary streaming service,BPM
Spotify,156
Pandora,119
Spotify,132
YouTube Music,84
Spotify,107
Spotify,86
YouTube Music,66
Spotify,95
Spotify,94
I do not use a streaming service.,155
Spotify,
YouTube Music,125
Spotify,
Spotify,88
Spotify,148
Spotify,
Spotify,103
Spotify,120
Spotify,99
Spotify,120
Apple Music,120
Spotify,125
I do not use a streaming service.,118
Spotify,79
Other streaming service,84
Spotify,169
Spotify,136
YouTube Music,101
Spotify,126
Apple Music,183
Apple Music,
Spotify,120
Spotify,
Spotify,142
Spotify,75
Spotify,120
Spotify,89
Other streaming service,
Other streaming service,140
Spotify,161
YouTube Music,80
Spotify,130
YouTube Music,147
Spotify,120
Spotify,77
I do not use a streaming service.,118
Spotify,132
Spotify,115
Spotify,157
Spotify,90
Apple Music,128
Spotify,169
Apple Music,140
Spotify,96
Spotify,126
Apple Music,
Spotify,91
I do not use a streaming service.,
Spotify,55
I do not use a streaming service.,85
YouTube Music,160
Pandora,108
Other streaming service,156
Spotify,170
Spotify,91
Spotify,174
Spotify,130
Spotify,140
Apple Music,130
I do not use a streaming service.,127
YouTube Music,160
Spotify,
Spotify,
Spotify,165
Apple Music,113
Spotify,167
Spotify,95
Spotify,110
YouTube Music,150
YouTube Music,93
Spotify,90
Spotify,118
Spotify,126
Spotify,103
Spotify,77
Spotify,115
Spotify,110
I do not use a streaming service.,
Spotify,113
Spotify,157
Spotify,160
I do not use a streaming service.,109
Spotify,175
YouTube Music,110
YouTube Music,162
Spotify,189
Spotify,121
Spotify,200
Spotify,105
Spotify,193
Spotify,149
I do not use a streaming service.,140
Apple Music,134
YouTube Music,120
Spotify,170
YouTube Music,107
Spotify,113
Spotify,126
Other streaming service,161
YouTube Music,
Spotify,100
Spotify,140
YouTube Music,156
Spotify,98
Spotify,100
Spotify,78
Spotify,117
Spotify,128
Spotify,130
Spotify,130
Spotify,
Apple Music,126
Spotify,122
YouTube Music,179
Other streaming service,200
Spotify,128
Spotify,130
Spotify,120
Spotify,86
Spotify,166
YouTube Music,110
Spotify,144
Spotify,120
Other streaming service,120
Spotify,160
Spotify,101
Spotify,122
Apple Music,
YouTube Music,
Spotify,61
Spotify,79
Spotify,126
Spotify,185
Spotify,92
Spotify,107
Spotify,120
Other streaming service,140
Spotify,94
Spotify,160
Spotify,174
Spotify,136
